sample_id,method,line_symbol,energy_keV,cts_per_s,error
JPL52,powder,Pb_Lg1,14.764,11.408,0.967
JPL52,powder,Pb_Ll,9.184,2.562,0.217
,,,,,
JPL52,pellet,Pb_La1,10.55,47.94,2.264
JPL52,pellet,Pb_La2,10.449,5.277,0.249
JPL52,pellet,Pb_Lb1,12.613,35.206,1.662
JPL52,pellet,Pb_Lb2,12.621,16.571,0.782
JPL52,pellet,Pb_Lb3,12.793,4.529,0.214
JPL52,pellet,Pb_Lb4,12.306,3.415,0.161
JPL52,pellet,Pb_Lg1,14.764,9.02,0.426
JPL52,pellet,Pb_Ll,9.184,2.003,0.095
JPL63,powder,Pb_La1,10.55,116.908,6.069
JPL63,powder,Pb_La2,10.449,12.871,0.668
JPL63,powder,Pb_Lb1,12.613,85.61,4.444
JPL63,powder,Pb_Lb2,12.621,40.296,2.092
JPL63,powder,Pb_Lb3,12.793,11.012,0.572
JPL63,powder,Pb_Lb4,12.306,8.306,0.431
JPL63,powder,Pb_Lg1,14.764,21.89,1.136
JPL63,powder,Pb_Ll,9.184,4.913,0.255
,,,,,
JPL61,pellet,Pb_La1,10.55,98.012,2.738
JPL61,pellet,Pb_La2,10.449,10.789,0.301
JPL61,pellet,Pb_Lb1,12.613,71.921,2.009
JPL61,pellet,Pb_Lb2,12.621,33.853,0.946
JPL61,pellet,Pb_Lb3,12.793,9.252,0.258
JPL61,pellet,Pb_Lb4,12.306,6.976,0.195
JPL61,pellet,Pb_Lg1,14.764,18.409,0.514
JPL61,pellet,Pb_Ll,9.184,4.097,0.114
,,,,,
JPL61,powder,Pb_La1,10.55,123.566,5.835
JPL61,powder,Pb_La2,10.449,13.603,0.642
JPL61,powder,Pb_Lb1,12.613,90.63,4.28
JPL61,powder,Pb_Lb2,12.621,42.659,2.014
JPL61,powder,Pb_Lb3,12.793,11.659,0.551
JPL61,powder,Pb_Lb4,12.306,8.791,0.415
JPL61,powder,Pb_Lg1,14.764,23.193,1.095
JPL61,powder,Pb_Ll,9.184,5.172,0.244
,,,,,
JPL59,pellet,Pb_La1,10.55,101.427,2.562
JPL59,pellet,Pb_La2,10.449,11.164,0.282
JPL59,pellet,Pb_Lb1,12.613,74.524,1.882
JPL59,pellet,Pb_Lb2,12.621,35.079,0.886
JPL59,pellet,Pb_Lb3,12.793,9.588,0.242
JPL59,pellet,Pb_Lb4,12.306,7.228,0.183
JPL59,pellet,Pb_Lg1,14.764,19.086,0.482
JPL59,pellet,Pb_Ll,9.184,4.242,0.107
,,,,,
JPL58,pellet,Pb_La1,10.55,185.964,2.697
JPL58,pellet,Pb_La2,10.449,20.47,0.297
JPL58,pellet,Pb_Lb1,12.613,136.558,1.981
JPL58,pellet,Pb_Lb2,12.621,64.279,0.932
JPL58,pellet,Pb_Lb3,12.793,17.568,0.255
JPL58,pellet,Pb_Lb4,12.306,13.245,0.192
JPL58,pellet,Pb_Lg1,14.764,34.922,0.507
JPL58,pellet,Pb_Ll,9.184,7.848,0.114
JPL73,pellet,Pb_La1,10.55,1126.774,4.915
JPL73,pellet,Pb_La2,10.449,124.055,0.541
JPL73,pellet,Pb_Lb1,12.613,823.754,3.594
JPL73,pellet,Pb_Lb2,12.621,387.861,1.692
JPL73,pellet,Pb_Lb3,12.793,105.94,0.462
JPL73,pellet,Pb_Lb4,12.306,79.945,0.349
JPL73,pellet,Pb_Lg1,14.764,207.805,0.907
JPL73,pellet,Pb_Ll,9.184,48.605,0.212
,,,,,
JPL79,powder,Pb_La1,10.55,727.538,9.874
JPL79,powder,Pb_La2,10.449,80.097,1.087
JPL79,powder,Pb_Lb1,12.613,532.693,7.28
JPL79,powder,Pb_Lb2,12.621,250.778,3.403
JPL79,powder,Pb_Lb3,12.793,68.518,0.93
JPL79,powder,Pb_Lb4,12.306,51.685,0.701
JPL79,powder,Pb_Lg1,14.764,135.35,1.837
JPL79,powder,Pb_Ll,9.184,31.238,0.424
,,,,,
JPL77,powder,Pb_La1,10.55,358.018,7.511
JPL77,powder,Pb_La2,10.449,39.412,0.827
JPL77,powder,Pb_Lb1,12.613,262.54,5.508
JPL77,powder,Pb_Lb2,12.621,123.585,2.593
JPL77,powder,Pb_Lb3,12.793,33.773,0.708
JPL77,powder,Pb_Lb4,12.306,25.468,0.534
JPL77,powder,Pb_Lg1,14.764,67.025,1.406
JPL77,powder,Pb_Ll,9.184,15.204,0.319
,,,,,
JPL68,pellet,Pb_La1,10.55,99.529,2.465
JPL68,pellet,Pb_La2,10.449,10.955,0.271
JPL68,pellet,Pb_Lb1,12.613,73.113,1.811
JPL68,pellet,Pb_Lb2,12.621,34.414,0.852
JPL68,pellet,Pb_Lb3,12.793,9.406,0.233
JPL68,pellet,Pb_Lb4,12.306,7.091,0.176
JPL68,pellet,Pb_Lg1,14.764,18.723,0.464
JPL68,pellet,Pb_Ll,9.184,4.172,0.103
,,,,,
JPL63,pellet,Pb_La1,10.55,107.244,2.548
JPL63,pellet,Pb_La2,10.449,11.805,0.28
JPL63,pellet,Pb_Lb1,12.613,78.69,1.869
JPL63,pellet,Pb_Lb2,12.621,37.039,0.88
JPL63,pellet,Pb_Lb3,12.793,10.123,0.24
JPL63,pellet,Pb_Lb4,12.306,7.633,0.181
JPL63,pellet,Pb_Lg1,14.764,20.135,0.478
JPL63,pellet,Pb_Ll,9.184,4.49,0.107
JPL86,pellet,Pb_La1,10.55,183.501,2.863
JPL86,pellet,Pb_La2,10.449,20.198,0.315
JPL86,pellet,Pb_Lb1,12.613,134.844,2.104
JPL86,pellet,Pb_Lb2,12.621,63.473,0.99
JPL86,pellet,Pb_Lb3,12.793,17.349,0.271
JPL86,pellet,Pb_Lb4,12.306,13.078,0.204
JPL86,pellet,Pb_Lg1,14.764,34.493,0.538
JPL86,pellet,Pb_Ll,9.184,7.722,0.12
JPL86,powder,Pb_La1,10.55,176.873,6.402
JPL86,powder,Pb_La2,10.449,19.472,0.705
JPL86,powder,Pb_Lb1,12.613,129.560,4.689
JPL86,powder,Pb_Lb2,12.621,60.985,2.207
JPL86,powder,Pb_Lb3,12.793,16.666,0.603
JPL86,powder,Pb_Lb4,12.306,12.570,0.455
,,,,,
,,,,,
,,,,,
JPL79,pellet,Pb_La1,10.55,650.564,3.928
JPL79,pellet,Pb_La2,10.449,71.612,0.432
JPL79,pellet,Pb_Lb1,12.613,477.32,2.882
JPL79,pellet,Pb_Lb2,12.621,224.709,1.357
JPL79,pellet,Pb_Lb3,12.793,61.403,0.371
JPL79,pellet,Pb_Lb4,12.306,46.302,0.28
JPL79,pellet,Pb_Lg1,14.764,121.448,0.733
JPL79,pellet,Pb_Ll,9.184,27.821,0.168
,,,,,
JPL77,pellet,Pb_La1,10.55,398.881,3.36
JPL77,pellet,Pb_La2,10.449,43.906,0.37
JPL77,pellet,Pb_Lb1,12.613,292.862,2.467
JPL77,pellet,Pb_Lb2,12.621,137.863,1.161
JPL77,pellet,Pb_Lb3,12.793,37.676,0.317
JPL77,pellet,Pb_Lb4,12.306,20.406,0.239
JPL77,pellet,Pb_Lg1,14.764,74.712,0.629
JPL77,pellet,Pb_Ll,9.184,16.963,0.143
,,,,,
JPL76,pellet,Pb_La1,10.55,463.044,3.627
JPL76,pellet,Pb_La2,10.449,50.972,0.399
JPL76,pellet,Pb_Lb1,12.613,339.626,2.661
JPL76,pellet,Pb_Lb2,12.621,159.88,1.252
JPL76,pellet,Pb_Lb3,12.793,43.689,0.342
JPL76,pellet,Pb_Lb4,12.306,32.946,0.258
JPL76,pellet,Pb_Lg1,14.764,86.536,0.678
JPL76,pellet,Pb_Ll,9.184,19.88,0.156
JPL95,powder,Pb_La1,10.55,63.232,5.618
JPL95,powder,Pb_La2,10.449,6.963,0.619
JPL95,powder,Pb_Lb1,12.613,46.181,4.103
JPL95,powder,Pb_Lb2,12.621,21.737,1.931
JPL95,powder,Pb_Lb3,12.793,5.939,0.528
JPL95,powder,Pb_Lb4,12.306,4.482,0.398
JPL95,powder,Pb_Lg1,14.764,11.797,1.048
JPL95,powder,Pb_Ll,9.184,2.667,0.237
,,,,,
JPL94,pellet,Pb_La1,10.55,84.494,2.457
JPL94,pellet,Pb_La2,10.449,9.304,0.271
JPL94,pellet,Pb_Lb1,12.613,61.938,1.801
