site,longitude,latitude,elev_dem,distance_m
COLUMNA_4_CICRA,-70.118855,-12.569049,243.0,-1841.8
COLUMNA_4_CICRA,-70.118624,-12.569049,242.0,-1816.8
COLUMNA_4_CICRA,-70.118394,-12.569049,243.0,-1791.8
COLUMNA_4_CICRA,-70.118163,-12.569049,244.0,-1766.8
COLUMNA_4_CICRA,-70.117932,-12.569049,244.0,-1741.8
COLUMNA_4_CICRA,-70.117701,-12.569049,244.0,-1716.8
COLUMNA_4_CICRA,-70.117471,-12.569049,244.0,-1691.8
COLUMNA_4_CICRA,-70.11724,-12.569049,243.0,-1666.8
COLUMNA_4_CICRA,-70.117009,-12.569049,244.0,-1641.8
COLUMNA_4_CICRA,-70.116778,-12.569049,245.0,-1616.8
COLUMNA_4_CICRA,-70.116547,-12.569049,245.0,-1591.8
COLUMNA_4_CICRA,-70.116317,-12.569049,245.0,-1566.8
COLUMNA_4_CICRA,-70.116086,-12.569049,244.0,-1541.8
COLUMNA_4_CICRA,-70.115855,-12.569049,243.0,-1516.8
COLUMNA_4_CICRA,-70.115624,-12.569049,242.0,-1491.8
COLUMNA_4_CICRA,-70.115394,-12.569049,242.0,-1466.8
COLUMNA_4_CICRA,-70.115163,-12.569049,242.0,-1441.8
COLUMNA_4_CICRA,-70.114932,-12.569049,241.0,-1416.8
COLUMNA_4_CICRA,-70.114701,-12.569049,240.0,-1391.8
COLUMNA_4_CICRA,-70.114471,-12.569049,239.0,-1366.8
COLUMNA_4_CICRA,-70.11424,-12.569049,238.0,-1341.8
COLUMNA_4_CICRA,-70.114009,-12.569049,236.0,-1316.8
COLUMNA_4_CICRA,-70.113778,-12.569049,236.0,-1291.8
COLUMNA_4_CICRA,-70.113548,-12.569049,233.0,-1266.8
COLUMNA_4_CICRA,-70.113317,-12.569049,230.0,-1241.8
COLUMNA_4_CICRA,-70.113086,-12.569049,229.0,-1216.8
COLUMNA_4_CICRA,-70.112855,-12.569049,229.0,-1191.8
COLUMNA_4_CICRA,-70.112625,-12.569049,216.0,-1166.8
COLUMNA_4_CICRA,-70.112394,-12.569049,216.0,-1141.8
COLUMNA_4_CICRA,-70.112163,-12.569049,216.0,-1116.8
COLUMNA_4_CICRA,-70.111932,-12.569049,216.0,-1091.8
COLUMNA_4_CICRA,-70.111702,-12.569049,216.0,-1066.8
COLUMNA_4_CICRA,-70.111471,-12.569049,216.0,-1041.8
COLUMNA_4_CICRA,-70.11124,-12.569049,216.0,-1016.8
COLUMNA_4_CICRA,-70.111009,-12.569049,216.0,-991.8
COLUMNA_4_CICRA,-70.110779,-12.569049,216.0,-966.8
COLUMNA_4_CICRA,-70.110548,-12.569049,216.0,-941.8
COLUMNA_4_CICRA,-70.110317,-12.569049,216.0,-916.8
COLUMNA_4_CICRA,-70.110086,-12.569049,216.0,-891.8
COLUMNA_4_CICRA,-70.109856,-12.569049,216.0,-866.8
COLUMNA_4_CICRA,-70.109625,-12.569049,216.0,-841.8
COLUMNA_4_CICRA,-70.109394,-12.569049,224.0,-816.8
COLUMNA_4_CICRA,-70.109163,-12.569049,229.0,-791.8
COLUMNA_4_CICRA,-70.108933,-12.569049,234.0,-766.8
COLUMNA_4_CICRA,-70.108702,-12.569049,238.0,-741.8
COLUMNA_4_CICRA,-70.108471,-12.569049,241.0,-716.8
COLUMNA_4_CICRA,-70.10824,-12.569049,241.0,-691.8
COLUMNA_4_CICRA,-70.10801,-12.569049,240.0,-666.8
COLUMNA_4_CICRA,-70.107779,-12.569049,237.0,-641.8
COLUMNA_4_CICRA,-70.107548,-12.569049,235.0,-616.8
COLUMNA_4_CICRA,-70.107317,-12.569049,236.0,-591.8
COLUMNA_4_CICRA,-70.107087,-12.569049,236.0,-566.8
COLUMNA_4_CICRA,-70.106856,-12.569049,236.0,-541.8
COLUMNA_4_CICRA,-70.106625,-12.569049,237.0,-516.8
COLUMNA_4_CICRA,-70.106394,-12.569049,239.0,-491.8
COLUMNA_4_CICRA,-70.106164,-12.569049,240.0,-466.8
COLUMNA_4_CICRA,-70.105933,-12.569049,242.0,-441.8
COLUMNA_4_CICRA,-70.105702,-12.569049,242.0,-416.8
COLUMNA_4_CICRA,-70.105471,-12.569049,242.0,-391.8
COLUMNA_4_CICRA,-70.10524,-12.569049,241.0,-366.8
COLUMNA_4_CICRA,-70.10501,-12.569049,239.0,-341.8
COLUMNA_4_CICRA,-70.104779,-12.569049,236.0,-316.8
COLUMNA_4_CICRA,-70.104548,-12.569049,236.0,-291.8
COLUMNA_4_CICRA,-70.104317,-12.569049,236.0,-266.8
COLUMNA_4_CICRA,-70.104087,-12.569049,236.0,-241.8
COLUMNA_4_CICRA,-70.103856,-12.569049,216.0,-216.8
COLUMNA_4_CICRA,-70.103625,-12.569049,216.0,-191.8
COLUMNA_4_CICRA,-70.103394,-12.569049,216.0,-166.8
COLUMNA_4_CICRA,-70.103164,-12.569049,216.0,-141.8
COLUMNA_4_CICRA,-70.102933,-12.569049,216.0,-116.8
COLUMNA_4_CICRA,-70.102702,-12.569049,216.0,-91.8
COLUMNA_4_CICRA,-70.102471,-12.569049,216.0,-66.8
COLUMNA_4_CICRA,-70.102241,-12.569049,223.0,-41.8
COLUMNA_4_CICRA,-70.10201,-12.569049,227.0,-16.8
COLUMNA_4_CICRA,-70.101779,-12.569049,241.0,8.2
COLUMNA_4_CICRA,-70.101548,-12.569049,241.0,33.2
COLUMNA_4_CICRA,-70.101318,-12.569049,258.0,58.2
COLUMNA_4_CICRA,-70.101087,-12.569049,267.0,83.2
COLUMNA_4_CICRA,-70.100856,-12.569049,271.0,108.2
COLUMNA_4_CICRA,-70.100625,-12.569049,272.0,133.2
COLUMNA_4_CICRA,-70.100395,-12.569049,271.0,158.2
COLUMNA_4_CICRA,-70.100164,-12.569049,271.0,183.2
COLUMNA_4_CICRA,-70.099933,-12.569049,270.0,208.2
COLUMNA_4_CICRA,-70.099702,-12.569049,271.0,233.2
COLUMNA_4_CICRA,-70.099472,-12.569049,271.0,258.2
COLUMNA_4_CICRA,-70.099241,-12.569049,271.0,283.2
COLUMNA_4_CICRA,-70.09901,-12.569049,273.0,308.2
COLUMNA_4_CICRA,-70.098779,-12.569049,273.0,333.2
COLUMNA_4_CICRA,-70.098549,-12.569049,275.0,358.2
COLUMNA_4_CICRA,-70.098318,-12.569049,276.0,383.2
