Sample,Method,Ag_ppm,Al,As_ppm,Ba,Ba_ppm,Bi_ppm,Br,Br_ppm,Ca,Cd_ppm,Ce_ppm,Cl,Co_ppm,Cr_ppm,Cs_ppm,Cu,Cu_ppm,Fe,Ga_ppm,Ge_ppm,I_ppm,In_ppm,Ir_ppm,K,La_ppm,Mg,Mn,Mn_ppm,Mo,Mo_ppm,Na,Nb_ppm,Ni_ppm,O,Os_ppm,P,Pb,Pb_ppm,Pd_ppm,Rb_ppm,Re_ppm,Rh_ppm,Ru_ppm,S,S_ppm,Sb_ppm,Si,Sn_ppm,Sr,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti,Ti_ppm,U_ppm,V_ppm,Y_ppm,Zn,Zn_ppm,Zr,Zr_ppm
PBP03_B,pellet,,20.873,23.0,,254.0,28.0,,,,,,,,,,,53.0,0.6,162.0,,,,,4.107,228.0,0.444,,61.0,,6.0,,,15.0,48.51,,0.068,0.302,,,474.0,,,,0.089,,39.0,24.795,26.0,,252.0,,,,,361.0,,,16.0,,36.0,,51.0
PBP03_C,pellet,,20.998,26.0,,177.0,29.0,,,,,,,,,,,51.0,0.601,156.0,,,,,4.12,,0.406,,79.0,,,,35.0,12.0,48.509,,0.069,0.306,,9.0,465.0,,,,0.071,,,24.749,31.0,,245.0,,52.0,,,217.0,19.0,,11.0,,28.0,,49.0
PBP04_1,powder,,21.507,,,,18.0,,,,,,,,,,,46.0,0.555,137.0,,,,,3.857,,0.249,,64.0,,,,24.0,8.0,48.789,,0.072,,,,330.0,,,,0.066,,,24.779,14.0,,176.0,12.0,,,,358.0,16.0,,,,25.0,,29.0
PBP04_2,powder,,21.571,,,,17.0,,,,,,,,,,,42.0,0.519,122.0,,,,,3.848,,0.29,,62.0,,,,17.0,6.0,48.796,,0.064,,31.0,,265.0,,,,0.065,,,24.747,,,139.0,,,13.0,,240.0,,,,,24.0,,22.0
PBP04_3,powder,,21.562,,,,18.0,,,,,,,,,,,39.0,0.484,118.0,,,,,3.636,,0.305,,53.0,,,,20.0,6.0,48.893,,0.061,,21.0,7.0,283.0,,,,,468.0,,24.908,16.0,,157.0,,,,,242.0,,,6.0,,19.0,,26.0
PBP04_A,pellet,,20.835,4.0,,,27.0,,,,,,,,,,,61.0,0.645,167.0,,,,,4.285,,0.307,,87.0,,,,40.0,7.0,48.621,,0.07,,36.0,,487.0,,,,0.055,,,25.027,36.0,,261.0,,,,,251.0,,,12.0,,23.0,,52.0
PBP04_B,pellet,,16.746,,,177.0,20.0,,,,,,,,,,,39.0,0.45,116.0,,,,,3.164,,0.395,,61.0,,6.0,,27.0,9.0,49.64,,0.058,,38.0,,328.0,,,,0.054,,,29.36,29.0,,180.0,,,,,212.0,,,13.0,,22.0,,45.0
PBP04_C,pellet,,16.597,4.0,,169.0,23.0,,,,,,,,,120.0,,41.0,0.472,121.0,,,,,3.242,,0.274,,73.0,,,,25.0,12.0,49.636,,0.054,,29.0,,352.0,,,,0.062,,,29.512,22.0,,190.0,,,,,218.0,,,14.0,,26.0,,53.0
XPAH20,pellet,,,,0.336,,,,,36.68,,,,,372.0,,,27.0,0.838,,,,,,,285.0,1.309,,366.0,,,,,150.0,39.191,,0.308,0.429,,,16.0,,,,0.534,,,18.42,46.0,,305.0,,,,1.353,,,,,0.44,,,39.0
XPAH20,powder,,0.373,,0.44,,,,,52.883,,,,,476.0,,,,1.204,,,,,,,,1.63,0.064,,,35.0,,,235.0,32.775,,,0.671,,,,,,,1.091,,,5.086,,,448.0,,,,2.919,,,,,0.736,,,85.0
