Sample,Method,Element,Line,Energy_keV,Intensity_Cnts,Error_int,Relative_Int
JPL29,pellet,Pb,Lb1,12.613,56.451,1.67,0.734
JPL29,pellet,Pb,Lb2,12.621,26.571,0.786,0.345
JPL29,pellet,Pb,Lb3,12.793,7.262,0.215,0.094
JPL29,pellet,Pb,Lb4,12.306,5.476,0.162,0.071
JPL29,pellet,Pb,Lg1,14.764,14.452,0.428,0.188
JPL29,pellet,Pb,Ll,9.184,3.214,0.095,0.042
JPL29,powder,Pb,La1,10.55,65.792,5.397,1.0
JPL29,powder,Pb,La2,10.449,7.243,0.594,0.11
JPL29,powder,Pb,Lb1,12.613,48.192,3.953,0.732
JPL29,powder,Pb,Lb2,12.621,22.683,1.861,0.345
JPL29,powder,Pb,Lb3,12.793,6.199,0.508,0.094
JPL29,powder,Pb,Lb4,12.306,4.675,0.384,0.071
JPL29,powder,Pb,Lg1,14.764,12.333,1.012,0.187
JPL29,powder,Pb,Ll,9.184,2.756,0.226,0.042
JPL33,pellet,Pb,La1,10.55,58.693,2.377,1.0
JPL33,pellet,Pb,La2,10.449,6.461,0.262,0.11
JPL33,pellet,Pb,Lb1,12.613,43.012,1.742,0.733
JPL33,pellet,Pb,Lb2,12.621,20.245,0.82,0.345
JPL33,pellet,Pb,Lb3,12.793,5.533,0.224,0.094
JPL33,pellet,Pb,Lb4,12.306,4.173,0.169,0.071
JPL33,pellet,Pb,Lg1,14.764,11.006,0.446,0.188
JPL33,pellet,Pb,Ll,9.184,2.464,0.1,0.042
JPL33,powder,Pb,La1,10.55,64.548,5.642,1.0
JPL33,powder,Pb,La2,10.449,7.108,0.621,0.11
JPL33,powder,Pb,Lb1,12.613,47.144,4.121,0.73
JPL33,powder,Pb,Lb2,12.621,22.19,1.94,0.344
JPL33,powder,Pb,Lb3,12.793,6.063,0.53,0.094
JPL33,powder,Pb,Lb4,12.306,4.575,0.4,0.071
JPL33,powder,Pb,Lg1,14.764,12.044,1.053,0.187
JPL33,powder,Pb,Ll,9.184,2.723,0.238,0.042
JPL40,pellet,Pb,La1,10.55,75.043,2.361,1.0
JPL40,pellet,Pb,La2,10.449,8.261,0.26,0.11
JPL40,pellet,Pb,Lb1,12.613,55.048,1.732,0.734
JPL40,pellet,Pb,Lb2,12.621,25.911,0.815,0.345
JPL40,pellet,Pb,Lb3,12.793,7.082,0.223,0.094
JPL40,pellet,Pb,Lb4,12.306,5.34,0.168,0.071
JPL40,pellet,Pb,Lg1,14.764,14.092,0.443,0.188
JPL40,pellet,Pb,Ll,9.184,3.14,0.099,0.042
JPL40,powder,Pb,La1,10.55,75.788,5.385,1.0
JPL40,powder,Pb,La2,10.449,8.344,0.593,0.11
JPL40,powder,Pb,Lb1,12.613,55.5,3.943,0.732
JPL40,powder,Pb,Lb2,12.621,26.123,1.856,0.345
JPL40,powder,Pb,Lb3,12.793,7.139,0.507,0.094
JPL40,powder,Pb,Lb4,12.306,5.384,0.383,0.071
JPL40,powder,Pb,Lg1,14.764,14.201,1.009,0.187
JPL40,powder,Pb,Ll,9.184,3.18,0.226,0.042
JPL43,pellet,Pb,La1,10.55,57.019,2.347,1.0
JPL43,pellet,Pb,La2,10.449,6.276,0.258,0.11
JPL43,pellet,Pb,Lb1,12.613,41.865,1.723,0.734
JPL43,pellet,Pb,Lb2,12.621,19.705,0.811,0.346
JPL43,pellet,Pb,Lb3,12.793,5.386,0.222,0.094
JPL43,pellet,Pb,Lb4,12.306,4.061,0.167,0.071
JPL43,pellet,Pb,Lg1,14.764,10.724,0.441,0.188
JPL43,pellet,Pb,Ll,9.184,2.382,0.098,0.042
JPL43,powder,Pb,La1,10.55,70.043,5.001,1.0
JPL43,powder,Pb,La2,10.449,7.271,0.551,0.104
JPL43,powder,Pb,Lb1,12.613,51.323,3.665,0.733
JPL43,powder,Pb,Lb2,12.621,24.157,1.725,0.345
JPL43,powder,Pb,Lb3,12.793,6.602,0.471,0.094
JPL43,powder,Pb,Lb4,12.306,4.979,0.356,0.071
JPL43,powder,Pb,Lg1,14.764,13.135,0.938,0.188
JPL43,powder,Pb,Ll,9.184,2.934,0.21,0.042
JPL48,pellet,Pb,La1,10.55,56.429,2.335,1.0
JPL48,pellet,Pb,La2,10.449,6.212,0.257,0.11
JPL48,pellet,Pb,Lb1,12.613,41.395,1.713,0.734
JPL48,pellet,Pb,Lb2,12.621,19.484,0.806,0.345
JPL48,pellet,Pb,Lb3,12.793,5.325,0.22,0.094
JPL48,pellet,Pb,Lb4,12.306,4.015,0.166,0.071
JPL48,pellet,Pb,Lg1,14.764,10.599,0.439,0.188
JPL48,pellet,Pb,Ll,9.184,2.359,0.098,0.042
JPL48,powder,Pb,La1,10.55,50.409,5.102,1.0
JPL48,powder,Pb,La2,10.449,5.546,0.561,0.11
JPL48,powder,Pb,Lb1,12.613,37.343,3.779,0.741
JPL48,powder,Pb,Lb2,12.621,17.577,1.779,0.349
JPL48,powder,Pb,Lb3,12.793,4.807,0.486,0.095
JPL48,powder,Pb,Lb4,12.306,3.618,0.366,0.072
JPL48,powder,Pb,Lg1,14.764,9.619,0.973,0.191
JPL48,powder,Pb,Ll,9.184,2.082,0.211,0.041
JPL50,pellet,Pb,La1,10.55,71.205,2.886,1.0
JPL50,pellet,Pb,La2,10.449,7.448,0.252,0.105
JPL50,pellet,Pb,Lb1,12.613,52.345,1.679,0.735
JPL50,pellet,Pb,Lb2,12.621,24.638,0.79,0.346
JPL50,pellet,Pb,Lb3,12.793,6.734,0.216,0.095
JPL50,pellet,Pb,Lb4,12.306,5.077,0.163,0.071
JPL50,pellet,Pb,Lg1,14.764,13.407,0.43,0.188
JPL50,pellet,Pb,Ll,9.184,2.978,0.095,0.042
JPL50,powder,Pb,La1,10.55,64.914,5.32,1.0
JPL50,powder,Pb,La2,10.449,7.146,0.586,0.11
JPL50,powder,Pb,Lb1,12.613,47.571,3.898,0.733
JPL50,powder,Pb,Lb2,12.621,22.391,1.835,0.345
JPL50,powder,Pb,Lb3,12.793,6.119,0.501,0.094
JPL50,powder,Pb,Lb4,12.306,4.615,0.378,0.071
JPL50,powder,Pb,Lg1,14.764,12.178,0.998,0.188
JPL50,powder,Pb,Ll,9.184,2.722,0.223,0.042
JPL51,pellet,Pb,La1,10.55,99.289,3.042,1.0
JPL51,pellet,Pb,La2,10.449,10.928,0.335,0.11
JPL51,pellet,Pb,Lb1,12.613,72.933,2.235,0.735
JPL51,pellet,Pb,Lb2,12.621,34.329,1.052,0.346
JPL51,pellet,Pb,Lb3,12.793,9.363,0.287,0.094
JPL51,pellet,Pb,Lb4,12.306,7.073,0.217,0.071
JPL51,pellet,Pb,Lg1,14.764,18.679,0.572,0.188
JPL51,pellet,Pb,Ll,9.184,4.146,0.127,0.042
JPL51,powder,Pb,La1,10.55,99.443,5.818,1.0
JPL51,powder,Pb,La2,10.449,10.939,0.64,0.11
JPL51,powder,Pb,Lb1,12.613,73.746,4.314,0.742
JPL51,powder,Pb,Lb2,12.621,34.714,2.031,0.349
JPL51,powder,Pb,Lb3,12.793,9.493,0.555,0.095
JPL51,powder,Pb,Lb4,12.306,7.145,0.418,0.072
JPL51,powder,Pb,Lg1,14.764,18.997,1.111,0.191
JPL51,powder,Pb,Ll,9.184,4.103,0.24,0.041
JPL52,pellet,Pb,La1,10.55,47.94,2.264,1.0
JPL52,pellet,Pb,La2,10.449,5.277,0.249,0.11
JPL52,pellet,Pb,Lb1,12.613,35.206,1.662,0.734
JPL52,pellet,Pb,Lb2,12.621,16.571,0.782,0.346
JPL52,pellet,Pb,Lb3,12.793,4.529,0.214,0.094
JPL52,pellet,Pb,Lb4,12.306,3.415,0.161,0.071
JPL52,pellet,Pb,Lg1,14.764,9.02,0.426,0.188
JPL52,pellet,Pb,Ll,9.184,2.003,0.095,0.042
JPL52,powder,Pb,La1,10.55,60.992,5.171,1.0
JPL52,powder,Pb,La2,10.449,6.715,0.569,0.11
JPL52,powder,Pb,Lb1,12.613,44.621,3.783,0.732
JPL52,powder,Pb,Lb2,12.621,21.003,1.781,0.344
JPL52,powder,Pb,Lb3,12.793,5.739,0.487,0.094
JPL52,powder,Pb,Lb4,12.306,4.33,0.367,0.071
JPL52,powder,Pb,Lg1,14.764,11.408,0.967,0.187
JPL52,powder,Pb,Ll,9.184,2.562,0.217,0.042
JPL58,pellet,Pb,La1,10.55,185.964,2.697,1.0
JPL58,pellet,Pb,La2,10.449,20.47,0.297,0.11
JPL58,pellet,Pb,Lb1,12.613,136.558,1.981,0.734
JPL58,pellet,Pb,Lb2,12.621,64.279,0.932,0.346
JPL58,pellet,Pb,Lb3,12.793,17.568,0.255,0.094
JPL58,pellet,Pb,Lb4,12.306,13.245,0.192,0.071
JPL58,pellet,Pb,Lg1,14.764,34.922,0.507,0.188
JPL58,pellet,Pb,Ll,9.184,7.848,0.114,0.042
JPL58,powder,Pb,La1,10.55,121.828,3.424,1.0
JPL58,powder,Pb,La2,10.449,13.411,0.377,0.11
JPL58,powder,Pb,Lb1,12.613,89.356,2.511,0.733
JPL58,powder,Pb,Lb2,12.621,42.06,1.182,0.345
JPL58,powder,Pb,Lb3,12.793,11.495,0.323,0.094
JPL58,powder,Pb,Lb4,12.306,8.668,0.244,0.071
JPL58,powder,Pb,Lg1,14.764,22.871,0.643,0.188
JPL58,powder,Pb,Ll,9.184,5.117,0.144,0.042
JPL59,pellet,Pb,La1,10.55,101.427,2.562,1.0
JPL59,pellet,Pb,La2,10.449,11.164,0.282,0.11
JPL59,pellet,Pb,Lb1,12.613,74.524,1.882,0.735
JPL59,pellet,Pb,Lb2,12.621,35.079,0.886,0.346
JPL59,pellet,Pb,Lb3,12.793,9.588,0.242,0.095
JPL59,pellet,Pb,Lb4,12.306,7.228,0.183,0.071
JPL59,pellet,Pb,Lg1,14.764,19.086,0.482,0.188
JPL59,pellet,Pb,Ll,9.184,4.242,0.107,0.042
JPL59,powder,Pb,La1,10.55,124.172,3.491,1.0
JPL59,powder,Pb,La2,10.449,13.67,0.384,0.11
JPL59,powder,Pb,Lb1,12.613,91.008,2.559,0.733
JPL59,powder,Pb,Lb2,12.621,42.837,1.204,0.345
JPL59,powder,Pb,Lb3,12.793,11.707,0.329,0.094
JPL59,powder,Pb,Lb4,12.306,8.829,0.248,0.071
JPL59,powder,Pb,Lg1,14.764,23.278,0.654,0.187
JPL59,powder,Pb,Ll,9.184,5.21,0.146,0.042
JPL61,pellet,Pb,La1,10.55,98.012,2.738,1.0
JPL61,pellet,Pb,La2,10.449,10.789,0.301,0.11
JPL61,pellet,Pb,Lb1,12.613,71.921,2.009,0.734
JPL61,pellet,Pb,Lb2,12.621,33.853,0.946,0.345
JPL61,pellet,Pb,Lb3,12.793,9.252,0.258,0.094
JPL61,pellet,Pb,Lb4,12.306,6.976,0.195,0.071
JPL61,pellet,Pb,Lg1,14.764,18.409,0.514,0.188
JPL61,pellet,Pb,Ll,9.184,4.097,0.114,0.042
JPL61,powder,Pb,La1,10.55,123.566,5.835,1.0
JPL61,powder,Pb,La2,10.449,13.603,0.642,0.11
JPL61,powder,Pb,Lb1,12.613,90.63,4.28,0.733
JPL61,powder,Pb,Lb2,12.621,42.659,2.014,0.345
